Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_CR2032_SMT",71.120000,-74.930000,180.000000,bottom
"C1","0.1","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",88.392000,-96.520000,90.000000,bottom
"D1","LED","LED_1204_RTA_2P",61.722000,-86.868000,180.000000,bottom
"D2","LED","LED_1204_RTA_2P",80.772000,-86.868000,180.000000,bottom
"D3","LED","LED_1204_RTA_2P",70.485000,-98.679000,0.000000,bottom
"D4","LED","LED_1204_RTA_2P",66.911576,-114.098944,116.000000,bottom
"D5","LED","LED_1204_RTA_2P",67.691000,-138.557000,118.000000,bottom
"D6","LED","LED_1204_RTA_2P",74.850959,-125.733087,248.000000,bottom
"Q1","Q_NMOS_GSD","SOT-23-3",59.182000,-95.758000,0.000000,bottom
"Q2","Q_NMOS_GSD","SOT-23-3",59.182000,-100.838000,0.000000,bottom
"R1","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",67.818000,-86.868000,0.000000,bottom
"R2","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",87.122000,-86.868000,0.000000,bottom
"R3","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",54.102000,-95.758000,90.000000,bottom
"R4","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",70.358000,-95.631000,0.000000,bottom
"R5","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",63.500000,-115.443000,110.000000,bottom
"R6","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",62.484000,-132.776994,115.000000,bottom
"R7","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",78.762131,-126.746000,250.000000,bottom
"R8","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.975000,-100.838000,90.000000,bottom
"SW1","SW_SPDT_Flipped","SW_SPDT_PCM12",45.720000,-70.612000,100.000000,bottom
"SW2","SW_SPDT","SW_SPDT_PCM12",97.536000,-70.104000,255.000000,bottom
"U1","ATtiny4-TS-PROG","SOT-23-6_Handsoldering",83.566000,-97.536000,0.000000,bottom
